ID,Horizontal_Distance_To_Fire_Points
49513387,3597.645929138449
154482561,3900.906466662713
170918549,3224.845915237649
483460773,1090.325348518596
3421968690,1153.521955067652
5499677306,1346.145028829109
6705225373,2337.627271276704
7212205247,2373.168386315987
7677453658,1585.3237345872258
10568709598,3798.9322139530086
11010485947,3074.8100401766696
11872738465,2566.1010380387343
11932179207,1684.933313630394
13257721895,1839.161829806304
13927948751,3182.6590119765533
14489896641,2487.613512566133
14533450652,2946.6687140160484
15876934908,3094.5618610044967
16294458069,1242.438948750405
17204753953,2457.88654560137
18254775858,3647.5297666550723
18587689167,1345.2216144567392
18714428928,3084.1881369354414
19116118615,1642.358854368831
20622356958,1057.8789400785463
21009804390,1230.12668492585
21606716089,1514.7808689217272
23003507048,1286.929015001435
23453508077,2684.681095672622
25491478138,2952.222734374409
26344741034,1194.0463059928334
27255398089,2304.3620230822107
27458388153,2687.8138544841895
27567489444,944.0248573408899
29404828195,2720.469379528382
31557514696,1151.0796316865308
32730748563,1239.1133139704052
32884041343,2209.2165988908673
33399879940,2820.390658995142
33690075065,1306.0131310326724
36954078703,1103.2780370731198
37241643628,2593.841099625619
37526064209,2966.772387032752
37888408680,3457.2626312390275
38778495322,2255.7702470194126
38881753524,3125.6771950212897
39445652987,3390.280004086533
41715580937,2682.399828927246
41782178549,1449.5217274968509
42460352572,1902.4240269685306
43131085379,3382.9288316043967
43215929285,3055.5600798722808
43218269944,1347.3098113376582
44272236132,2239.8925990432017
44291834111,3161.0890870835938
45863110497,1142.1786007587416
47936167179,1913.5410443486435
47960171005,3252.982740427862
48605389311,1645.157253392048
48706795356,1803.9040840009839
49988516622,611.731929212714
50178474646,1577.14595919754
50185962297,1094.0688866517266
51137539291,2854.5488332980312
51254308022,1527.0247505154875
51485692242,2635.100976570431
53407573721,3504.3235756053255
53617093644,2958.101206586627
54815855423,2621.1454194375183
57570938929,1925.3870759219171
59358734242,2271.9675157654638
59805517756,3089.350750829177
59904653621,2853.190609267236
62251900775,1251.51469349129
62294819713,2913.524927836861
62340551963,1233.7606161353142
63641439905,2626.8154476106465
65036486778,1254.855376784646
66421264513,3049.5910059743037
66933894253,2054.242323020302
67770507511,885.4349943262932
69622426407,1120.2734901800977
70790301137,2892.456820289195
70984767213,3484.1527262224718
71226250395,2202.5953582429174
72414773115,3216.5139766746197
75305489676,2647.453910616554
75473973939,1765.1056938108595
77614027136,3364.5133415842392
79230575862,2431.536177081085
79615576477,2384.46019495737
80701706821,2296.869359134129
83060056231,1461.2983116978376
83287709439,1047.764931962518
86819211905,2685.311294396026
87501972029,3974.8991841332027
88214596632,3324.3988993574203
90027244686,1018.3759279323949
92915532844,2600.881203106368
93009805530,3310.2682738106414
93912328737,2752.7152328143384
94056108636,861.323709133776
95007997989,3368.0687035374176
97542872929,2142.8650481812347
97690587164,1227.8302330306233
98413925270,2543.224596991631
98435157932,1031.4108839140063
98898601119,1858.7907772683284
100928655693,2994.625704464588
102563430642,2663.340891701004
102980609560,2831.5509129675156
103401327025,1133.8505727132324
107600110556,1428.9228197790671
108359814184,2175.6950958588313
109232629345,2573.5020641590836
109937572212,2986.3737797149442
111017468179,572.0477691904198
113635763667,2951.748176754263
114060742296,897.1689992234242
114246972325,1113.8051550965229
114622005074,1933.330004402158
114919291579,2389.2724187039094
119124592923,1013.8256463118705
120173178150,1021.7080592325965
120174739398,2664.415976450582
125620283395,2047.730986075254
126109810620,1426.5470347731898
126323123025,1082.8993528273786
127278650468,2783.0898241716386
127375803095,1485.8831598401703
127674493201,1424.7416077093021
129387496043,2544.5550892145875
129617305930,2603.8205934975194
132515758197,2196.4411304644927
133757104902,1660.0465357766734
134441063734,1493.6786562430152
135345474220,1074.9352422293887
135855544925,2124.1000071376693
135942569459,2988.372804822222
137155027535,1228.0099053184895
138738130208,2627.133948483468
139067422477,3906.2337772345236
141906524488,2392.84189112035
142393479923,1491.207951956012
142605257189,829.8027445861353
143068056043,1328.0204251746436
143410583289,1149.6220459355955
145860890030,1206.6804280068045
147823220120,3318.4717135088194
149223537884,1045.3127911011743
150011633916,2804.829815466519
150725100902,1911.242511829645
150849655128,3370.5581781809015
151019752418,2729.0355713773406
155312591316,2448.6125972222526
158170244349,982.3927272744822
158198752116,1475.517175396766
159512560080,2964.180311416909
160394048269,2834.878603247018
160866071764,2627.7798300201903
162858239831,2928.417694820202
164119838197,1266.7989093716187
165822299060,3315.947090649628
166539180979,2521.236324138148
167026181691,1440.7078545828736
168251283648,2873.7540318079264
169164297159,3113.336742105961
170340592111,2344.499651402468
172984134900,1959.0413157232579
173965052459,3446.436596458141
174340626142,784.9552357067732
174553904617,1215.634416230645
176985788025,2712.8797118494076
177084017191,3091.502512658424
178306423165,2654.59934217071
178423952401,1254.1869026511013
178455941015,1561.1800992499448
178529788874,1802.7116980373758
179149623101,2330.0555540877976
179416220637,2907.643240955713
179888286148,3280.6210705453814
180179088273,1352.819272784609
180507824238,1186.0669532218599
184375392165,2225.1956923560756
184451477151,1259.7915232107443
184738741234,877.8055938088237
185056899485,2605.9498726740967
185182071731,672.1810578405875
186192642676,1619.363422647304
186202931714,855.3989489938795
186666583405,3605.791013668997
188058099532,2957.1673674574267
190612161739,1661.9713755769335
191786220918,1536.1659679906315
192272885253,923.7079412005805
195350959068,2328.517651160446
196714165163,3030.4289167431198
196797893847,547.7126688526023
197098575791,2928.510315964999
200200813237,2888.4456602618357
201753062486,1247.2121692209912
202879802840,590.1824865965937
206124335947,2135.3898908034425
208556964450,1262.4206295072654
209138095340,528.6939439351772
213009574322,2713.6779388625837
213257512053,1205.0111569265719
213491750198,2845.639487357377
214765872738,2834.2623012089934
215677869250,3320.8190530990614
216856419020,2410.26398830942
216879306321,1230.8000012762259
218546511946,1360.358765391862
222873265205,944.8743503770347
223316030855,2905.1051315481873
223679548202,1355.0038818804933
223837443523,2521.5100178888297
224551039788,1175.2412069105048
225566744544,1020.755261510978
225684559020,2864.2447663190997
226167994000,2340.1667549241683
227253695108,3506.6218027581017
227626552656,3218.770549379491
228211731876,2157.9279086472798
228461864201,739.9352848848612
228697857848,3034.582492714344
228836659715,1028.9658941167763
230988028530,2341.1173184167583
232228338089,2518.4840529066605
232796167982,1258.6421614029932
233062770776,3487.062765995788
233732533410,2341.9535216795175
234008501935,2312.442754826261
234837203673,1470.3640826304982
234846947995,2937.479185889155
235486464743,2334.30296936563
236263378345,2399.1311309588946
237781854465,2735.42837038572
237942030110,2790.044141134109
238016403687,2637.810200832433
239363389723,3069.576238238218
241700135191,3638.1896135491515
241998041181,2887.5638797870924
242990398464,2743.2852510489574
243067416845,1114.9472690650946
243275253201,1358.493125949266
243637464238,2528.3670488379066
244319901355,1869.0019798720841
244624829603,1258.8321987783347
